Year,Month,East Midlands,East of England,London,North East,North West,Scotland,South East,South West,Wales,West Midlands,Yorks and Humber,date
2001,1,77.3,80.8,75.0,71.7,74.4,76.2,81.1,79.7,71.4,76.0,76.4,2001-01-01
2001,2,77.1,80.9,75.0,71.4,74.4,76.1,81.0,79.6,71.5,76.1,75.6,2001-02-01
2001,3,77.2,81.0,74.8,71.6,74.6,75.8,80.9,79.8,71.2,76.2,75.7,2001-03-01
2001,4,77.4,80.7,74.6,71.8,74.8,76.1,80.9,79.6,70.8,76.2,75.3,2001-04-01
2001,5,77.3,80.3,75.1,71.6,75.0,76.3,81.0,79.7,70.7,75.9,75.3,2001-05-01
2001,6,77.4,80.0,75.0,71.1,74.6,76.4,81.0,79.7,70.5,75.8,75.3,2001-06-01
2001,7,77.4,80.2,74.9,71.3,74.3,76.2,81.0,79.9,70.9,76.0,75.4,2001-07-01
2001,8,77.6,80.3,75.1,71.4,73.6,76.2,81.1,79.7,70.3,76.1,75.5,2001-08-01
2001,9,77.9,80.5,75.2,71.5,73.4,76.3,80.9,79.5,70.9,76.2,75.3,2001-09-01
2001,10,78.1,80.5,75.2,71.3,73.8,76.3,80.9,79.8,70.8,76.8,75.0,2001-10-01
2001,11,77.6,80.5,75.4,71.7,74.1,76.1,81.0,79.9,70.7,76.7,75.3,2001-11-01
2001,12,77.4,80.3,75.2,71.6,74.1,76.0,80.9,79.9,70.5,76.5,75.2,2001-12-01
2002,1,77.8,80.5,74.8,71.7,74.1,75.7,81.1,79.5,70.7,76.4,75.2,2002-01-01
2002,2,77.7,80.3,74.7,72.0,74.1,75.8,81.2,79.3,70.4,76.6,75.2,2002-02-01
2002,3,77.3,80.5,74.7,72.1,74.4,75.9,81.6,79.8,70.8,76.4,75.0,2002-03-01
2002,4,78.0,80.0,75.0,71.4,74.2,76.5,81.4,80.0,71.0,76.7,75.1,2002-04-01
2002,5,78.3,80.1,74.9,71.3,74.3,76.1,81.3,80.1,71.3,76.8,75.4,2002-05-01
2002,6,78.5,80.0,74.9,70.8,73.8,76.0,81.3,80.1,71.5,77.0,75.1,2002-06-01
2002,7,78.6,80.1,74.8,71.2,74.1,76.4,81.1,80.0,71.4,76.9,75.6,2002-07-01
2002,8,78.7,80.1,74.4,71.2,74.1,76.5,81.0,80.3,71.7,76.8,75.6,2002-08-01
2002,9,78.5,79.8,74.5,70.9,74.9,76.7,80.9,81.0,72.0,76.7,75.7,2002-09-01
2002,10,78.2,79.8,74.5,71.0,74.9,76.8,81.0,80.5,72.3,76.9,75.6,2002-10-01
2002,11,78.2,79.8,74.6,70.8,75.2,77.1,81.0,80.1,73.1,77.1,75.3,2002-11-01
2002,12,77.9,79.7,74.3,69.9,74.6,77.1,80.9,79.8,72.9,77.1,75.0,2002-12-01
2003,1,77.3,79.6,74.0,70.5,74.8,77.1,80.8,79.7,73.1,76.8,75.4,2003-01-01
2003,2,77.5,79.6,74.0,70.5,74.9,76.8,80.9,79.5,73.4,76.9,75.9,2003-02-01
2003,3,77.4,79.7,74.2,70.7,75.0,77.0,80.8,79.3,73.7,76.4,76.1,2003-03-01
2003,4,77.3,79.9,74.0,70.9,75.2,76.8,80.7,79.3,74.2,76.5,76.3,2003-04-01
2003,5,77.5,79.9,74.2,70.7,75.3,76.8,80.6,79.5,74.2,76.2,76.2,2003-05-01
2003,6,77.8,79.9,74.4,71.0,75.4,76.7,80.5,79.3,74.1,76.5,76.3,2003-06-01
2003,7,77.4,79.7,74.7,71.0,75.3,76.8,80.6,79.0,74.4,75.9,76.2,2003-07-01
2003,8,77.3,79.7,74.9,71.3,75.3,76.8,80.5,79.2,74.3,75.8,76.2,2003-08-01
2003,9,76.9,79.8,74.8,71.7,75.2,76.9,80.3,79.4,73.9,75.9,76.0,2003-09-01
2003,10,77.2,80.1,74.6,72.0,75.1,76.7,80.2,79.1,74.2,75.5,76.1,2003-10-01
2003,11,77.4,80.6,74.0,72.2,75.0,76.3,80.3,79.3,73.7,75.8,76.0,2003-11-01
2003,12,77.7,80.8,74.2,72.0,75.4,76.5,80.4,79.3,73.8,76.1,76.1,2003-12-01
2004,1,77.7,80.2,74.2,72.0,75.7,76.7,80.3,79.8,73.6,76.3,76.2,2004-01-01
2004,2,78.0,80.5,74.2,72.0,75.5,77.0,80.1,79.6,74.3,76.2,76.1,2004-02-01
2004,3,77.7,80.5,74.4,71.9,74.9,77.2,80.0,79.3,74.1,76.3,76.2,2004-03-01
2004,4,78.2,80.5,74.3,71.2,74.8,77.3,79.8,79.3,74.5,76.3,76.2,2004-04-01
2004,5,77.5,80.3,74.2,71.6,75.0,77.5,80.0,79.1,73.8,76.3,76.0,2004-05-01
2004,6,77.5,80.5,73.8,72.0,75.2,77.6,79.5,79.4,73.3,75.8,76.0,2004-06-01
2004,7,77.0,80.4,73.9,72.2,74.6,77.6,80.0,79.3,72.5,76.0,76.1,2004-07-01
2004,8,76.9,80.0,73.7,72.2,74.8,77.3,80.2,79.3,72.9,76.9,76.0,2004-08-01
2004,9,77.1,79.8,73.1,71.8,74.8,77.5,80.2,79.0,73.5,76.9,76.3,2004-09-01
2004,10,77.2,80.2,73.4,72.4,75.2,77.5,80.2,78.8,73.7,76.8,76.1,2004-10-01
2004,11,77.4,80.0,73.5,72.3,75.6,77.6,80.2,79.2,73.5,76.6,76.1,2004-11-01
2004,12,77.8,80.1,73.6,72.8,75.6,77.7,80.3,79.7,73.2,76.3,76.0,2004-12-01
2005,1,78.2,80.2,73.9,72.8,75.4,77.5,80.3,79.8,73.6,76.7,76.4,2005-01-01
2005,2,77.8,80.0,73.7,72.5,75.0,77.7,80.2,79.7,73.3,76.5,76.2,2005-02-01
2005,3,77.8,79.9,73.6,72.5,74.8,77.3,79.9,79.7,72.8,76.6,76.3,2005-03-01
2005,4,77.7,80.0,73.4,72.8,74.6,77.5,80.1,80.0,72.7,76.4,76.2,2005-04-01
2005,5,78.0,80.1,73.4,73.4,74.6,77.1,80.4,79.4,72.5,76.3,76.2,2005-05-01
2005,6,78.0,79.9,73.6,73.0,74.8,77.4,80.3,79.4,72.9,76.2,75.9,2005-06-01
2005,7,78.4,80.0,73.5,72.8,75.3,77.3,80.5,79.4,73.2,75.9,75.7,2005-07-01
2005,8,78.6,80.1,73.5,72.6,74.9,77.4,80.4,79.3,73.6,76.0,76.2,2005-08-01
2005,9,78.6,80.1,73.7,72.6,75.2,77.5,80.7,79.0,73.6,75.6,76.1,2005-09-01
2005,10,78.9,79.8,73.6,72.7,74.9,77.4,80.5,78.9,73.4,76.0,76.1,2005-10-01
2005,11,79.0,79.7,73.7,72.9,74.6,77.1,80.5,78.8,73.5,75.9,76.7,2005-11-01
2005,12,79.2,79.5,74.0,72.4,74.5,77.0,80.7,78.8,73.5,76.1,76.7,2005-12-01
2006,1,79.3,79.7,74.1,73.9,74.9,77.2,80.7,79.1,72.8,75.7,76.9,2006-01-01
2006,2,79.2,79.6,74.5,74.1,75.1,77.1,80.9,79.0,73.2,76.3,76.7,2006-02-01
2006,3,79.2,79.6,74.1,74.3,75.3,77.4,81.0,79.4,73.4,76.6,76.8,2006-03-01
2006,4,79.4,79.5,74.3,74.2,75.2,77.5,81.0,79.2,73.2,76.4,76.6,2006-04-01
2006,5,79.6,79.3,74.4,74.3,75.3,77.0,81.1,79.6,73.6,76.6,76.8,2006-05-01
2006,6,79.1,79.6,74.6,74.1,75.4,77.1,81.1,79.4,74.0,76.7,76.8,2006-06-01
2006,7,79.5,79.7,75.2,74.3,75.7,77.1,80.9,79.0,74.7,76.8,76.6,2006-07-01
2006,8,79.2,79.4,74.4,73.7,76.0,77.4,80.7,79.0,74.4,76.9,76.1,2006-08-01
2006,9,79.4,79.1,74.6,73.7,75.7,77.5,80.4,79.4,74.1,76.7,76.3,2006-09-01
2006,10,79.4,78.9,74.6,73.8,75.3,77.6,80.4,79.3,74.0,76.3,76.6,2006-10-01
2006,11,79.0,79.0,74.6,73.8,75.2,78.2,80.5,79.3,74.1,76.3,76.5,2006-11-01
2006,12,78.8,78.7,74.4,74.3,74.9,78.2,80.6,79.1,74.5,76.2,76.3,2006-12-01
2007,1,78.1,78.9,74.4,74.1,74.7,78.4,80.4,79.0,74.3,75.9,76.0,2007-01-01
2007,2,78.1,79.3,74.2,74.0,75.2,78.5,80.3,79.2,74.0,75.6,75.6,2007-02-01
2007,3,78.1,79.2,74.1,73.9,75.3,78.4,80.3,79.3,73.9,75.6,75.4,2007-03-01
2007,4,78.0,79.1,74.2,74.5,75.7,78.5,80.5,79.2,74.3,75.9,75.1,2007-04-01
2007,5,77.6,79.0,74.1,74.4,75.3,78.6,80.4,79.3,74.4,76.0,75.3,2007-05-01
2007,6,77.9,78.7,74.0,74.0,75.2,78.5,80.2,79.2,74.3,76.5,75.5,2007-06-01
2007,7,78.0,79.0,73.9,73.9,75.2,78.2,80.6,79.7,73.5,76.3,75.5,2007-07-01
2007,8,78.0,79.3,74.1,74.3,74.9,78.0,80.9,79.5,73.5,76.4,75.4,2007-08-01
2007,9,78.0,79.7,74.0,73.9,75.1,78.1,80.8,79.7,73.6,76.1,75.6,2007-09-01
2007,10,77.8,79.6,74.2,73.6,75.1,78.0,81.0,79.6,74.1,76.0,76.0,2007-10-01
2007,11,77.6,79.7,74.2,73.9,75.4,78.0,80.9,80.0,73.3,76.0,76.1,2007-11-01
2007,12,77.8,79.7,74.7,73.7,75.3,78.4,80.9,80.1,72.7,75.8,75.9,2007-12-01
2008,1,78.2,79.5,74.9,73.5,75.3,78.3,80.8,79.7,72.8,76.6,76.1,2008-01-01
2008,2,78.5,79.2,75.2,73.1,74.9,78.0,80.8,79.8,73.6,76.3,76.0,2008-02-01
2008,3,78.4,79.9,75.6,74.1,74.6,77.9,80.8,79.8,74.1,75.9,75.8,2008-03-01
