city,vote
London,0
Birmingham,1
Leeds,0
Sheffield,1
Glasgow,0
Edinburg,0
Bradford,1
Bristol,0
Liverpool,0
Manchester,0
Wakefield,1
Cardiff,0
Belfast,0
Coventry,1
Brington,0
Leicester,0
Sunderland,1
Plymouth,1
Newcastle,0
Nottingham,1
Derby,1
Swansea,1
Wolverhampton,1
Stoke,1
Kingston,1
Salford,1
York,0
Southampton,1
Aberdeen,0
Portsmouth,1
Cambridge,0
Amber Valley,1
Ashfield,1
Bassetlaw,1
Blaby,1
Norwich,0
Angus,0
Dundee,0
Highland,0
Fife,0
Stirling,0
Newport,1
Moray,0
Kirklees ,1
Warwick,0
Ashford,1
Chiltern,0
Arun,1
Sefton,0
Haltoon,1
